ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
bootymusic,Booty Music,A305,"【开始】左直条接右单点后，爆左起连点第一个.
【结束】右直条后，第三个单点（左).",B563,"【开始】553左滑条拖住，过10cb爆.
【结束】左单点后，右二连点.",68,A305,"【开始】左直条接右单点后，爆左起连点第一个.
【结束】右直条后，第三个单点(左).",35,1
bopeepbopeep bo peep bopeep,Bo Peep Bo Peep,A320,"【开始】左滑条&右单点后，爆左二连点.〔存)
【结束】A段结束，双滑条尾.",B509,"【开始】右手连续三个单点后，爆右滑点.〔极)
【结束】右滑点后，左单点.（偷)",69,B531,"【开始】500后，爆第三次滑点:右上长滑点.
【结束】左直条按住，右下单点.",35,1
bornthisway,Born This Way,A154,"【开始】双滑条后，过空气和俩单点，爆第一次双点.
【结束】左三个散点后，双点.(备注)",A240,"【开始】副歌后高潮，右四个散点后，爆第一次双点.
【结束】右四个散点后，第一次双点.",82,A240,"【开始】副歌后高潮，右四个散点后，爆第一次双点.
【结束】右四个散点后，第一次双点.",42,2
boys,Boys,A254,"【开始】右长滑条后，副歌开始，爆第二次双点.
【结束】右滑点尾.",B765,"【开始】副歌开，爆第二次短滑点:左上短滑点.
【结束】右下长滑点尾.",76,B765,"【开始】副歌开，爆第二次短滑点:左上短滑点.
【结束】右下长滑点尾",42,2
braveheart brave heart,Brave Heart,A376,"【开始】导歌最后,右直条按住,爆左第三次滑点。
【结束】右直条按住,左直条后左二连点。",B881,"【开始】导歌后半,右左各一次直条后,爆左单点。
【结束】右短滑点后,双点。",99,B881,"【开始】导歌后半,右左各一次直条后,爆左单点。
【结束】右短滑点后,双点。",50,1
brightspring bright spring,Bright Spring,A427,"【开始】第三次单点接直条(右)按住,爆左三连点。(存)
【结束】A段结束,左滑点尾。",B759,"【开始】第三次直条+滑点爆。右直条按住,爆左滑点。
【结束】歌曲结束,双滑点。",89,B749,"【开始】第二次直条+滑点爆:右直条按住。爆左滑点。
【结束】第二组双点。",46,1
bubblepop bubble pop,Bubble Pop！,A244,"【开始】副歌中,左直条后,爆右短滑点。
【结束】左滑条尾&右单点。(双排一样)(备注)",B567,"【开始】副歌中,右直条后,爆左短滑点。
【结束】右滑条尾&左单点。(双排一样)(备注)",67,A244,"【开始】副歌中,左直条后,爆右短滑点。
【结束】左滑条尾&右单点。(双排一样)(备注)",34,1
bukezudang 不可阻挡,不可阻挡,A271,"【开始】过散点，爆第二组双压。
【结束】双滑条尾。",B762,"【开始】过散点，爆第一组双压。
【结束】双滑条接近结尾。",80,A271,"【开始】过散点，爆第二组双压。
【结束】双滑条尾。",40,1
butterfly futter fly,Butter Fly,A507,"【开始】二次副歌最后,右二连点接条按住,爆左滑点。
【结束】左长滑条中&右直条中。",B1116,"【开始】二次副歌最后,左二连点接条按住,爆右滑点。
【结束】左直条中&右长滑条中。",83,A507,"【开始】二次副歌最后,右二连点接条按住,爆左滑点。
【结束】左长滑条中&右直条中。",42,1
caibitou 猜不透,猜不透,A237,"【开始】232右直条后，爆左拐滑点
【结束】左点",B985,"【开始】左下点后，爆左拐条+右点
【结束】双压",65,B985,"【开始】左下点后，爆左拐条+右点
【结束】双压",33,1
candypop candy pop,Candy Pop,A430,"【开始】右手连续单点后，过左单点，爆双滑点。（存）
【结束】A段结束，双点。（偷）",B730,"【开始】左单点后，过小段空气，爆双滑点。
【结束】第三对双点。",78,B847,"【开始】高潮部分,五连点后,过右单点,爆双滑点。
【结束】双直条后,第四组双点。",38,1
caomeishufulei 草莓舒芙蕾,草莓舒芙蕾,B918,"【开始】右滑条尾接左直条按住爆右第三个单点
【结束】左滑点尾",B1297,"【开始】1292右滑条后，爆左单点
【结束】右滑点尾",125.5,B918,"【开始】右滑条尾接左直条按住爆右第三个单点
【结束】左滑点尾",67.1,2
caoxilianshangyueliang 潮汐恋上月亮,潮汐恋上月亮,B576,"【开始】570左滑条后，过右单点，爆左单点。
【结束】双点。",B724,"【开始】723左单点后，爆左单点&右滑点。
【结束】左滑点&右单点。",62,B576,"【开始】570左滑条后，过右单点，爆左单点。
【结束】双点。",34,1
change change,chAngE,A363,"【开始】导歌后半,右滑条后,爆第一组双点。
【结束】右短滑点头。",B552,"【开始】B开,右直条按住,马上爆左二连点。
【结束】左滑条尾&右单点。",86,B552,"【开始】B开,右直条按住,马上爆左二连点。
【结束】左滑条尾&右单点。",45,1
changemyworld change my world,change！ my world,A496,"【开始】连续三对双点后爆左大滑点
【结束】左滑点+右单点结束",B1331,"【开始】右手三个单点后，爆双滑点
【结束】倒数第二组双点",104.2,A496,"【开始】连续三对双点后爆左大滑点
【结束】左滑点+右单点结束",55.4,1
clear clear,CLEAR,A332,"【开始】第二次副歌中,右滑点后爆左三连点的最后一个点。
【结束】右长滑点中(16/17)。(双排一样)",B716,"【开始】第二次副歌中,左滑点后爆右三连点的最后一个点。
【结束】左长滑点中(16/17)。(双排一样)",90,A332,"【开始】第二次副歌中,右滑点后爆左三连点的最后一个点。
【结束】右长滑点中(16/17)。(双排一样）。",45,1
congqianshuo 从前说,从前说,A212,"【开始】左单点。
【结束】左下单点。",B459,"【开始】右短滑点后，爆第二个单点（左上）
【结束】左上单点。",69,B459,"【开始】右短滑点后，爆第二个单点（左上）
【结束】左上单点。",36,2
createch crea tech,Crea-Tech,B1173,"【开始】左滑点&右二连点。
【结束】左单点&右滑点。",B1362,"【开始】1354左滑条后，爆左单点&右滑点。
【结束】左滑点&右单点。",156,B1362,"【开始】1354左滑条后，爆左单点&右滑点。
【结束】左滑点&右单点。",78,1
crossingfield crossing field,Crossing Field,A130,"【开始】第二次主歌,106双直条后,爆第四组双点。
【结束】连续三组双点。",A456,"【开始】四次滑条+点后,爆第八组双点。
【结束】第二次滑条尾&三连点。(备注)",107,Al30,"【开始】第二次主歌,106双直条后,爆第四组双点。
【结束】连续三组双点。",54,1
dangni 当你,当你（非压爆带极限）,B459,"【开始】副歌中，左三连点后，爆左上单点.
【结束】右两个点后，双点.",B614,"【开始】四次短滑点后，过一单点，爆右滑条.
【结束】左三连点.",88,B614,"【开始】四次短滑点后，过一单点，爆右滑条.
【结束】左三连点. ",45,2
dayishujia 大艺术家,大艺术家（困难版）,A68,"【开始】开局第四根条(右直条)按住,结束时爆&左滑点。
【结束】右直条尾&左单点。",A161,"【开始】主歌部分,左直条按住,结束时爆&右滑点。
【结束】左直条尾&右单点。",73,A161,"【开始】主歌部分,左直条按住,结束时爆&右滑点。
【结束】左直条尾&右单点。",38,1
dazhenglangman 大正浪漫,大正浪漫,A96,"【开始】右滑条后，爆左单点。
【结束】左单点。",B318,"【开始】左单点后，爆右下的单点。
【结束】左单点。",62,B318,"【开始】左单点后，爆右下的单点。
【结束】左单点。",31,1
dearfuturehusband dear future husband,Dear Future Husband,B505,"【开始】493右滑条后,右直条按住,过2cb爆
【结束】右长滑点后,第一组双点。(备注)",B864,"【开始】让过852左滑条,862左滑条拖住,过2cb爆。
【结束】左长滑点后,第一组双点。(备注)",76,B864,"【开始】让过852左滑条,862左滑条拖住,过2cb爆。
【结束】左长滑点后,第一组双点。(备注)",41,1
diqiutaolijihua 地球逃离计划,地球逃离计划,A166,"【开始】左滑条后过三单点，过空气，爆左单点接右滑条
【结束】",B344,"【开始】338右滑条按住爆条尾+左手连点
【结束】左滑条尾+右单点",65,B344,"【开始】338右滑条按住爆条尾+左手连点
【结束】左滑条尾+右单点",36,1
dontwakemeup don't wake me up,Don't Wake Me Up,A139,"【开始】右滑点接左单点后，爆左滑条
【结束】左二连点",B494,"【开始】右滑点后，爆左单点
【结束】左滑条头",54,B494,"【开始】右滑点后，爆左单点
【结束】左滑条头",27,1
Doraradora,Doraradora,A296,"【开始】副歌中,左滑条后,爆第二次双点。
【结束】右滑点尾。",B874,"【开始】高潮,两次双点后,左单点接滑条,滑条拖2cb爆。
【结束】歌曲结束,双点。",79,B874,"【开始】高潮,两次双点后,左单点接滑条,滑条拖2cb爆。
【结束】歌曲结束,双点。",40,1
dtm dtm,D•T•M,A154,"【开始】过右左两点，爆双压。
【结束】双压。",A219,"【开始】211左直条，过右滑点，左点，爆双压。
【结束】双压。",65,A154,"【开始】过右左两点，爆双压。
【结束】双压。",33,1
duoshaogeyuzhou 多少个宇宙,多少个宇宙,A272,"【开始】261右直条&左滑点后，爆第一组双点。
【结束】第一组双打。",B714,"【开始】702左滑条&右直条后，过两个点，爆双点。
【结束】右滑点中。",80,A272,"【开始】261右直条&左滑点后，爆第一组双点。
【结束】第一组双打。",40,1
duoyoudarao 多有打扰,多有打扰,B388,"【开始】过散点，爆左长滑条&右点。
【结束】右滑条中。",B484,"【开始】474右长滑条按住，爆条中&左滑条。
【结束】左三连点。",70,B450,"【开始】过右点，爆左长滑条&右点。
【结束】左滑条中&右第二个点。",37,2
