ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
heartshaker heart shaker,Heart Shaker,A36,【开始】过二轨滑键，按住四轨条爆四轨左滑  【结束】双条后吃到第五个点：五轨单点,A291,【开始】二三轨双条后，按住2&5轨条爆双内滑  【结束】左手楼梯条最后一拐：二轨左滑,103.9,A36,【开始】过二轨滑键，按住四轨条爆四轨左滑  【结束】双条后吃到第五个点：五轨单点,53,1
herewithyou here with you,Here With You,A120,"【开始】边走主歌，爆2轨条。
【结束】4轨左滑键。（备注）",B429,"【开始】411后，爆第四次双点：爆1&4轨双点。
【结束】歌曲结束，2&3轨双条为。（备注）",70,B429,"【开始】411后，爆第四次双点：爆1&4轨双点。
【结束】歌曲结束，2&3轨双条为。（备注）",39,2
heybabynishiwode hey baby你是我的,Hey Baby 你是我的,A242,【开始】4轨楼梯条：第一次左滑时爆      【结束】第二个单点。,B752,【开始】1轨楼梯条：第一次右滑时爆  【结束】第二个单点。,80,A242,【开始】4轨楼梯条：第一次左滑时爆       【结束】第二个单点。,40,1
hip hip,Hip,A118,"开始:3－4点后，爆一轨二连点第一个
结束:三轨拐条右拐",B311,"开始:一轨条后，爆第一个四轨单点
结束:三轨拐条右拐",75.5,B311,"开始:一轨条后，爆第一个四轨单点
结束:三轨拐条右拐",39,2
history history,History,A342,"【开始】 337起3-2-3点后，二轨短条按住过2cb爆
【结束】二轨拐条后，三轨右滑条头",B732,"【开始】 三轨短条尾+二轨单点后，爆四轨单点
【结束】三轨拐条后，二轨左滑条右滑",83.3,B732,"【开始】 三轨短条尾+二轨单点后，爆四轨单点
【结束】二轨拐条后，二轨左滑条右滑",41.8,1
huanghun 黄昏,黄昏,A247,"【开始】 2&4轨双打后，爆1&3轨双打
【结束】一轨单点+四轨拐条左滑",B898,"【开始】 1&3轨双打后，爆2轨左滑条+四轨单点
【结束】二轨拐条中间+四轨左滑键",77.9,A247,"【开始】 2&4轨双打后，爆1&3轨双打
【结束】一轨单点+四轨拐条左滑",39.7,1
huanyoushikong 环游时空,环游时空,A214,"【开始】一轨短条后，三轨短条按住爆条尾+二轨短条
【结束】2-3-4点后，一轨二连点第二个",B514,"【开始】二轨单点后，四轨短条按住过3cb爆
【结束】3-2-1点后第三个：一轨点",67.3,A214,"【开始】一轨短条后，三轨短条按住爆条尾+二轨短条
【结束】2-3-4点后，一轨二连点第二个",33.7,2
huima 会吗,会吗,B1095,"【开始】 1081cb四轨左滑键后，过一轨拐条，四轨拐条按住爆左滑尾
【结束】1&4轨双条接近结尾",B1331,"【开始】 1310cb一轨拐条左滑和三轨右滑条按住过8cb爆
【结束】一轨条右滑+三轨右滑尾",117.1,B1331,"【开始】 1310cb一轨拐条左滑和三轨右滑条按住过8cb爆
【结束】一轨条右滑+三轨右滑尾",61.2,1
huohua 火花,火花,A87,【开始】爆4轨二连点第二个       【结束】散点全部吃完2轨。,B571,【开始】爆4-3-2轨的4轨单点   【结束】4-3-4轨第二个4轨单点。,70,A87,【开始】爆4轨二连点第二个【结束】散点全部吃完2轨。,37,1
iknewyouweretrouble i knew you were trouble,I Know You Were Trouble*,A97,【开始】4轨大拐条第一次左滑时爆   【结束】3轨条中。,A192,【开始】爆第二组双点：1&4轨双点         【结束】左手条按住第二个3轨单点。,84,A97,【开始】4轨大拐条第一次左滑时爆【结束】3轨条中。,42,2
inmyzone in my zone,In My Zone,A296,"【开始】二轨短条接四轨点后爆一轨右滑条
【结束】一轨右滑条头",B768,"【开始】四轨左滑条第三拐（二轨左滑）
【结束】四轨左滑条第三拐（四轨左滑）",77.9,A296,"【开始】二轨短条接四轨点后爆一轨右滑条
【结束】一轨右滑条头",40.5,1
intothenight into the night,Into The Night,A215,"【开始】过三轨点，爆一轨右滑尾
【结束】三轨点",B328,"【开始】一轨条后，爆2&3轨双长条
【结束】一轨单点",67.6,B328,"【开始】一轨条后，爆2&3轨双长条
【结束】一轨单点",35.3,2
iwantmytearsback i want my tears back,I Want My Tears Back,A580,【开始】爆1轨二连点（极）（存）     【结束】A段结束，2&3轨双直条尾。,B811,【开始】左滑时爆（极）     【结束】2&4轨双左滑尾。,147,B941,【开始】4轨条左滑时爆              【结束】2&4轨双左滑尾。,80,2
jaroflove jar of love,Jar Of Love,A201,"【开始】“oh my love”1轨条后，爆3轨二连点。
【结束】4轨二连点第一个。",B455,"【开始】两个滑键后，过五个点，爆3轨单点。
【结束】右手]条尾。",73,B455,"【开始】两个滑键后，过五个点，爆3轨单点。
【结束】右手]条尾。",40,2
jellyjelly jelly jelly,JELLY JELLY,A172,【开始】爆1&4轨双直条              【结束】1后右滑建。,B708,【开始】爆1&4轨双点（极）【结束】1&3轨双点。,68,B708,【开始】爆1&4轨双点（极）  【结束】1&3轨双点。,35,1
jianhun 剑魂,剑魂,A198,"【开始】四轨拐条左滑时爆
【结束】一轨单点后，四轨单点",B525,"【开始】三轨拐条后，爆一轨拐条
【结束】二轨拐条后，第一个四轨单点",64.1,A198,"【开始】四轨拐条左滑时爆
【结束】一轨单点后，四轨单点",32.1,1
jiannuan 渐暖,渐暖,A62,"【开始】55一轨点接条后，四轨拐条按住2cb爆
【结束】二轨二连点第二个",B379,"【开始】374四轨短条后爆2&3轨双打
【结束】二轨二连点后，一轨点",63.4,A62,"【开始】55一轨点接条后，四轨拐条按住2cb爆
【结束】二轨二连点第二个",32.4,2
jijuhuaeryi 几句话而已,几句话而已,A281,"【开始】一轨点后，276三轨条按住5cb爆
【结束】一轨右滑键",B510,"【开始】二轨点后，三轨拐条按住2cb爆
【结束】一轨三连点",66.5,B510,"【开始】二轨点后，三轨拐条按住2cb爆
【结束】一轨三连点",35.6,2
jinjuebianjingxian 禁绝边境线,禁绝边境线,A405,【开始】爆2-3-2-3第一个2轨点（存）     【结束】A段结束，2&3轨双直条中。,B607,【开始】爆第一个4轨单点      【结束】4轨直条按住，第二个单点，2轨单点。,72,A357,【开始】爆尾&3轨点     【结束】A段结束，2&3轨双直条中。,36,1
juewangxing 绝望性,绝望性：ヒ一ロ一治療薬,B1469,【开始】五轨短条后，过散点，爆二轨左滑条  【结束】二轨条左滑+四轨右滑键,B1576,【开始】过一轨短条，爆2&5轨双点  【结束】三轨单点,115.5,B1469,【开始】五轨短条后，过散点，爆二轨左滑条  【结束】二轨条左滑+四轨右滑键,58.3,1
justlikefire just like fire,just like fire,A161,【开始】左手条后，过五轨二连点，爆二轨单点+五轨条头  【结束】按住一轨条，吃完四轨三连点,B575,【开始】左手条后，过五轨二连点，爆二轨单点+五轨条头  【结束】按住一轨条，吃完四轨三连点,93.2,A161,【开始】左手条后，过五轨二连点，爆二轨单点+五轨条头  【结束】按住一轨条，吃完四轨三连点,46.6,1
kanong 卡农,卡农,A169,【开始】连续滑键后，爆第一对双打：1&5轨双点  【结束】二轨单点，一轨二连点第一个,B877,【开始】按住一轨条，爆四轨右滑键  【结束】歌曲结尾，1&4轨双点,83,A169,【开始】连续滑键后，爆第一对双打：1&5轨双点  【结束】二轨单点，一轨二连点第一个,42,1
keepitup keep it up,KEEP IT UP,A364,"【开始】二轨拐条后，过四轨点爆1&3轨双打（存）
【结束】一轨条尾+四轨单点，中场",B617,"【开始】四轨二连点接1轨右滑条按住，左滑时爆（2拐1）
【结束】四轨条尾+一轨单点",83,B449,"【开始】一轨拐条后过三轨点爆2&4轨双打
【结束】一轨条接近结尾",41.1,1
keepyourheaddown keep your head down,Keep Your Head Down,B727,"【开始】 二轨左滑键后，721四轨拐条按住，爆右滑+一轨短条
【结束】一轨点",B960,"【开始】 954四轨短条后，2-1-2点爆一轨点
【结束】一轨拐条右滑尾+五轨拐条左滑尾（接双打歌曲结束）",107.7,B727,"【开始】 二轨左滑键后，721四轨拐条按住，爆右滑+一轨短条
【结束】一轨点",53.9,1
kelaiyinlan 克莱因蓝,克莱因蓝,A114,"【开始】二轨左滑键后，过三轨单点，爆二轨二连点第一个
【结束】一轨短条尾",B414,"【开始】四轨单点后，爆二轨单点
【结束】三轨短条后，二轨二连点第二个",58.4,B414,"【开始】四轨单点后，爆二轨单点
【结束】三轨短条后，二轨二连点第二个",29.5,1
keluodiyakuangxiangqu 克罗地亚狂想曲,克罗地亚狂想曲,A467,【开始】过两个滑键，爆第一个单点：一轨单点  【结束】楼梯点第一次一轨单点,B758,【开始】过两个滑键，爆第三个四轨单点  【结束】吃完一轨至三轨楼梯条：二轨长条右滑,91.5,B758,【开始】过两个滑键，爆第三个四轨单点  【结束】吃完一轨至三轨楼梯条：二轨长条右滑,46.7,1
keneng 可能,可能,B475,"【开始】一轨条后，爆三轨二连点
【结束】三轨二连点后，二轨单点",B542,"【开始】二轨二连点后，三轨拐条按住右滑时爆
【结束】四轨拐条左滑尾",54.6,B542,"【开始】二轨二连点后，三轨拐条按住右滑时爆
【结束】四轨拐条左滑尾",27.4,1
killingme killing me,Killing ME,A315,"【开始】四轨短条欧，爆一轨短条（存）
【结束】A段结束，四轨单点",B329,"【开始】三轨单点后，爆二轨单点
【结束】三轨拐条左滑尾",54.7,B327,"【开始】B开，爆一轨单点
【结束】三轨短条后，一轨单点",27.8,1
knockknock knock knock,KNOCK KNOCK,A99,"【开始】3轨向右滑键后，爆2＆3轨双点。
【结束】4轨条后，2轨单点。",B235,"【开始】桥段最后，2轨单点后，爆2轨短条。
【结束】右手拐条尾：3轨左滑尾。",62,B235,"【开始】桥段最后，2轨单点后，爆2轨短条。
【结束】右手拐条尾：3轨左滑尾。",32,2
kongxiangshenhua 空想神话,空想神话,A252,【开始】2轨条按住，爆4轨条            【结束】4轨二连点的第一个。,B1516,【开始】左手条左滑后按住，爆3轨二连点            【结束】1轨条中。,123,B1516,【开始】左手条左滑后按住，爆3轨二连点        【结束】1轨条中。,69,1
kulekule 哭了哭了,哭了哭了,A137,"【开始】二轨条后爆1&4轨双打
【结束】三轨短条后，二轨单点",B384,"【开始】三轨条后爆1&4轨双打
【结束】二轨短条后，三轨单点",50.8,A137,"【开始】二轨条后爆1&4轨双打
【结束】三轨短条后，二轨单点",25.4,1
kuqizhantai 哭泣站台,哭泣站台,B670,"【开始】660二轨单点+三轨长条按住，爆一轨二连点
【结束】一轨拐条尾+四轨短条尾",B860,"【开始】四轨拐条后，二轨左滑条按住爆最后一次左滑+四轨直条
【结束】2&4轨长条接近结尾",75.8,B670,"【开始】660二轨单点+三轨长条按住，爆一轨二连点
【结束】一轨拐条尾+四轨短条尾",39.1,1
latitude latitude,Latitude,A227,"【开始】 222二轨短条后，过三轨单点，爆五轨单点
【结束】五轨单点",B937,"【开始】 一轨直条后，爆一轨右滑键+四轨右滑条
【结束】五轨条按住吃到三轨点",111.1,A227,"【开始】 222二轨短条后，过三轨单点，爆五轨单点
【结束】五轨单点",56.5,1
lettinggo letting go,Letting Go,B450,"【开始】440二轨右滑条按住左拐时爆
【结束】2&4轨双条结束",B780,"【开始】一轨二连点爆第二个
【结束】1&4轨双条结束",80.3,B450,"【开始】440二轨右滑条按住左拐时爆
【结束】2&4轨双条结束",40.4,2
lianaila 恋爱啦,恋爱啦,A310,【开始】四轨右滑按住8cb爆（存）  【结束】1&5轨双条结尾（偷）,B700,【开始】双条欧，爆第一个单点：一轨单点  【结束】1&5轨双条结尾,86.2,A303,【开始】四轨右滑后按住1cb爆  【结束】1&5轨双条结尾（偷）,44.8,2
liangliang 凉凉,凉凉（困难版）,B807,【开始】爆第一个4轨单点    【结束】第二个2轨左滑建。,B1317,【开始】爆第一个3轨单点 【结束】1&3轨双直条尾。,94,B807,【开始】爆第一个4轨单点             【结束】第二个2轨左滑建。,50,1
liangxianghuan 两相欢,两相欢,A330,"开始:二轨单点后，二轨按住2cb爆
结束:一轨条尾+四轨单点",B669,"开始:三轨单点后，三轨按住2cb爆
结束:一轨条尾+四轨单点",71.2,A330,"开始:二轨单点后，二轨按住2cb爆
结束:一轨条尾+四轨单点",35.6,1
