ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
cradles cradles,Cradles,A242,"【结束】237左滑球后，爆第2组双点（极）
【结束】左白球后的第2组双点",B787,"【开始】785右滑球后过左二连点，爆双点（极）
【结束】左白球",71,B787,"【开始】785右滑球后过左二连点，爆双点（极）
【结束】左白球",36,1
crazy,Crazy,A356,"【开始】354右滑球后，过左单点，爆右二连点
【结束】右白球",B435,"【开始】431右二连点后，爆第三个单点（左）
【结束】散点结束（左）",80.5,B435,"【开始】431右二连点后，爆第三个单点（左）
【结束】散点结束（左）",40.5,1
createch crea tech,Crea-Tech,A481,"【开始】462右手滑球后爆第三个白球（左手）
【结束】右手白球（倒数第二个）",B558,"【开始】B开，左手滑球
【结束】左手滑球",153.5,A481,"【开始】462右手滑球后爆第三个白球（左手）
【结束】右手白球（倒数第二个）",80.5,1
crossingfield crossing field,Crossing Field,B973,"【开始】B段第一次高潮中间，两对双打之间的右手滑球。
【结束】左手单长条+右手普通球（条结束）。",B1059,"【开始】B段第二次高潮快结束，爆第二个左手白球。
【结束】右手长条结束&左手第二个白球。",67,B1059,"【开始】B段第二次高潮快结束，爆第二个左手白球。
【结束】右手长条结束&左手第二个白球。",34,1
daoying 倒影,倒影,A194,"【开始】189右条后，爆左白球
【结束】右二连点后的左单点",B489,"【开始】479右左两条后，爆右白球（假）
【结束】左二连点结束",65,A194,"【开始】189右条后，爆左白球
【结束】右二连点后的左单点",33,1
dayishujia 大艺术家,大艺术家（困难版）,B735,"【开始】双长条后，爆左手二连点
【结束】散点中，吃到右手普通球",B1000,"【开始】右手条按住，爆左手普通球（紧接白球）（极）
【结束】第二次右手普通球&左滑球",96,B735,"【开始】双长条后，爆左手二连点
【结束】散点中，吃到右手普通球",50,1
dearfuturehusband dear future husband,Dear Future Husband,A237,"【开始】高潮中间，连续三根单长条后，爆右手白球。
【结束】踩右手条接到左手滑球。",B551,"【开始】连续三根单长条后，爆右手白球。
【结束】右手滑球。",67,B551,"【开始】连续三根单长条后，爆右手白球。
【结束】右手滑球。",35,1
dengwoxianshuo 等我先说,等我先说,A160,"【开始】二次副歌开，过左单点爆紧接着的右手单点
【结束】小段空气后，右手白球后的左手普通球",B394,"【开始】二次副歌开，爆第一个左手白球
【结束】散点后，吃完双长条",64,B394,"【开始】二次副歌开，爆第一个左手白球
【结束】散点后，吃完双长条",32,1
diqiutaolijihua 地球逃离计划,地球逃离计划,A166,"【开始】散点倒数第二个（左），接右单点，左条
【结束】散点结束（左）",B461,"【开始】右单点后，左条按住1cb爆
【结束】散点结束（右）",62.3,B461,"【开始】右单点后，左条按住1cb爆
【结束】散点结束（右）",31.3,1
dontgo don't go,Don't Go,A289,"【结束】289右条后，爆左单点
【结束】右白球后第2个单点（右）",B770,"【开始】765左条后，爆右单点
【结束】右二连点第1个",80.1,B770,"【开始】765左条后，爆右单点
【结束】右二连点第1个",40.8,1
dontwakemeup don't wake me up,Don't Wake Me Up,A165,"【开始】159右条后，过左单点，爆右滑球
【结束】右白球",B494,"【开始】488左条后，过右单点，爆左二连点
【结束】左白球",59.8,B494,"【开始】488左条后，过右单点，爆左二连点
【结束】左白球",30.4,1
dtm dtm,D.T.M,B507,"【开始】过左滑球+右单后，爆双打
【结束】双打",B582,"【开始】按住576左条，过右滑球，爆左白球
【结束】右白球",86.6,B582,"【开始】按住576左条，过右滑球，爆左白球
【结束】右白球",46.1,1
duoshaogeyuzhou 多少个宇宙,多少个宇宙,A233,"【开始】231右滑球后，过右单点，爆双打
【结束】左白球",B630,"【开始】620双长条后，过右单点，爆左白球
【结束】左条尾+右条头",79.3,B630,"【开始】620双长条后，过右单点，爆左白球
【结束】左条尾+右条头",39.8,1
