ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
quzhongrenweisan 曲终人未散,曲终人未散,A167,"【开始】右下10单点后爆左下11.12.13点点绿。
【结束】右上12蓝条。",B290,"【开始】右下17短绿条后，爆左上1.2.3连点。
【结束】右下8单点。",51,A167,"【开始】右下10单点后爆左下11.12.13点点绿。
【结束】右上12蓝条。",25,1
rageyourdream rage your dream,Rage Your Dream,A134,"【开始】左下⑥⑦散点后，爆上方⑧-⑧双点。
【结束】左手②③④点点蓝的蓝条尾。",B253,"【开始】B开过四个单点，爆左手⑤绿条。
【结束】左下②③④连点。",56,A134,"【开始】左下⑥⑦散点后，爆上方⑧-⑧双点。
【结束】左手②③④点点蓝的蓝条尾。",31,2
rainbow rainbow,Rainbow,A185,"【开始】右⑥绿条后，爆左下①单点（存）
【结束】中场，右⑦单点",B270,"【开始】右下①短绿后，按住左上②长绿，爆条中+中上偏右③单点
【结束】右③单点",34.4,B268,"【开始】右下①短绿后，爆左上②长绿
【结束】右上⑦绿条头",17.3,2
raining raining,Raining,A125,"【开始】右上10长绿后，爆左下向左1.2.3连点。
【结束】左下13长绿头。",B423,"【开始】左下10长绿后，爆右上向右1.2.3连点。
【结束】右上13长绿头。",58,A125,"【开始】右上10长绿后，爆左下向左1.2.3连点。
【结束】左下13长绿头。",29,1
ranshaobaqingchun 燃烧吧青春,燃烧吧青春,A109,"【开始】右手⑩长绿后，爆左上①②连点。
【结束】右下⑤⑥连点的⑤号点。（双排一样）",B177,"【开始】右上⑥【Z】长绿后，爆左下①②连点。
【结束】右上⑤⑥连点的⑤号点。（双排一样）",58,A109,"【开始】右手⑩长绿后，爆左上①②连点。
【结束】右下⑤⑥连点的⑤号点。（双排一样）",29,2
remembertonight remember tonight,Remember Tonight,A83,"【开始】右上⑤单点后，爆中上⑥单点（建议左手）
【结束】中上③④⑤三连点",B276,"【开始】左下④单点后，爆中下⑤单点（建议左手）
【结束】中下③④⑤三连点",55,B276,"【开始】左下④单点后，爆中下⑤单点（建议左手）
【结束】中下③④⑤三连点",28,1
renjianzhongzhong 人间种种,人间种种,A207,"【开始】左下1.2.3连点
【结束】",B419,"【开始】左6短绿条后，爆偏右1.2.3向左三连点。
【结束】左上5.6连点结束。",51,B419,"【开始】左6短绿条后，爆偏右1.2.3向左三连点。
【结束】左上5.6连点结束。",26,1
reqiqiu 热气球,热气球,B226,"【开始】右上⑩绿条后，爆中下偏左①单点
【结束】中下⑦⑧⑨三连点",B271,"【开始】左下⑤单点后，爆左上 ""→""⑥⑦⑧三连点
【结束】左上①②连点",50.9,B226,"【开始】右上⑩绿条后，爆中下偏左①单点
【结束】中下⑦⑧⑨三连点",26,1
resurrection resurrection,Resurrection,A159,"【开始】左下⑥螺旋长绿后过①单点，爆右下②③连点。
【结束】右手⑦-⑨点点绿的⑧号点。（双排一样）",A211,"【开始】中左上①单点后，爆左上②③连点。
【结束】左手⑦-⑨点点绿的⑧号点。（双排一样）",55,A211,"【开始】中左上①单点后，爆左上②③连点。
【结束】左手⑦-⑨点点绿的⑧号点。（双排一样）",27,1
rightnow right now,"Right Now
（非压爆带极限）",A48,"【开始】右下⑧⑨散点后，爆左下⑩左滑蓝条。
【结束】右下①单点。",B302,"【开始】三根绿条和左上①单点后，爆左下②③④连点。
【结束】左上③蓝条前3cb。（备注）",55,B302,"【开始】三根绿条和左上①单点后，爆左下②③④连点。
【结束】左上③蓝条前3cb。（备注）",28,2
